GROUP,,,,,,,,,,,,,,"[u'580:X_Voq(0mT)', u'4325:NB_Uout@0mT']"
DISTANCE,,,,,,,,,,,,,,near

RULE,MVBIN,SBIN,HBIN,Parameter, SBIN,HBIN,DIE_X,DIE_Y,SITE,TIME,TOTAL_TESTS,LOT_ID,WAFER_ID,1:rule5,1:rule5_zscore
PID-1,0,1,1,PID-1,1,1,27,9,2,4.909,267,249028,24,1.87826797717,0.949701672267
PID-10,0,1,1,PID-10,1,1,36,9,2,3.473,267,249028,24,1.58399176177,0.567431768046
PID-100,0,1,1,PID-100,1,1,45,13,3,3.47,267,249028,24,1.4453314383,0.381190951534
PID-1000,0,1,1,PID-1000,1,1,48,37,2,7.406,267,249028,24,0.612926807061,-0.949081496525
PID-1001,0,1,1,PID-1001,1,1,47,37,3,7.414,267,249028,24,1.47550011727,0.422154938122
PID-1002,0,1,1,PID-1002,1,1,49,36,0,7.331,267,249028,24,1.52918205151,0.495206142562
PID-1003,0,1,1,PID-1003,1,1,50,36,1,7.412,267,249028,24,0.59024382974,-0.993467296137
PID-1004,0,1,1,PID-1004,1,1,50,37,2,7.484,267,249028,24,0.57747741827,-1.02011935884
PID-1005,0,1,1,PID-1005,1,1,49,37,3,7.492,267,249028,24,1.55454872279,0.528742934006
PID-1006,0,1,1,PID-1006,1,1,52,36,1,6.019,267,249028,24,1.08408157132,-0.138549559224
PID-1007,0,1,1,PID-1007,1,1,52,37,2,6.037,267,249028,24,1.06162844263,-0.173760534645
PID-1008,0,1,1,PID-1008,1,1,51,37,3,6.114,267,249028,24,1.27575623597,0.143258034999
PID-1009,0,1,1,PID-1009,1,1,53,36,0,7.328,267,249028,24,1.27257811544,0.138961169343
PID-101,0,1,1,PID-101,1,1,47,15,3,3.468,267,249028,24,1.13038656087,-0.0690213052971
PID-1010,0,1,1,PID-1010,1,1,54,36,1,7.333,267,249028,24,1.00137428911,-0.267135545997
PID-1011,0,1,1,PID-1011,1,1,54,37,2,7.48,267,249028,24,2.47145456767,1.67360373207
PID-1012,0,1,1,PID-1012,1,1,53,37,3,7.49,267,249028,24,1.19935046148,0.033213275156
PID-1013,0,1,1,PID-1013,1,1,55,36,0,4.799,267,249028,24,0.857821829329,-0.501699183151
PID-1014,0,1,1,PID-1014,1,1,55,37,3,4.836,267,249028,24,1.08132869689,-0.143124889881
PID-1015,0,1,1,PID-1015,1,1,54,38,0,7.466,267,249028,24,1.057949429,-0.179915985246
PID-1016,0,1,1,PID-1016,1,1,55,38,1,7.471,267,249028,24,0.734580662294,-0.716937337804
PID-1017,0,1,1,PID-1017,1,1,55,39,2,7.618,267,249028,24,0.74255362023,-0.702429553953
PID-1018,0,1,1,PID-1018,1,1,54,39,3,7.626,267,249028,24,1.40922691795,0.331655114488
PID-1019,0,1,1,PID-1019,1,1,51,38,0,7.217,267,249028,24,0.874931939706,-0.473132715335
PID-102,0,1,1,PID-102,1,1,44,14,0,6.782,267,249028,24,1.40102079859,0.320588968989
PID-1020,0,1,1,PID-1020,1,1,52,38,1,7.222,267,249028,24,0.606458033816,-0.961100000211
PID-1021,0,1,1,PID-1021,1,1,52,39,2,7.378,267,249028,24,1.58403652142,0.568761868322
PID-1022,0,1,1,PID-1022,1,1,51,39,3,7.398,267,249028,24,0.820536418064,-0.56479737875
PID-1023,0,1,1,PID-1023,1,1,49,38,0,7.266,267,249028,24,0.722802247688,-0.738847518985
PID-1024,0,1,1,PID-1024,1,1,50,38,1,7.344,267,249028,24,2.07100789812,1.19071973961
PID-1025,0,1,1,PID-1025,1,1,50,39,2,7.419,267,249028,24,2.07146785097,1.19071973961
PID-1026,0,1,1,PID-1026,1,1,49,39,3,7.433,267,249028,24,2.02449504363,1.13258312034
PID-1027,0,1,1,PID-1027,1,1,47,38,0,7.25,267,249028,24,1.83917522452,0.900212483726
PID-1028,0,1,1,PID-1028,1,1,48,38,1,7.333,267,249028,24,2.68074981962,1.91901144644
PID-1029,0,1,1,PID-1029,1,1,48,39,2,7.402,267,249028,24,1.5178116062,0.47904603373
PID-103,0,1,1,PID-103,1,1,45,14,1,6.817,267,249028,24,1.41329655143,0.337180130057
PID-1030,0,1,1,PID-1030,1,1,47,39,3,7.412,267,249028,24,0.838968128693,-0.533938338752
PID-1031,0,1,1,PID-1031,1,1,44,38,0,7.253,267,249028,24,1.55411443687,0.528742934006
PID-1032,0,1,1,PID-1032,1,1,45,38,1,7.353,267,249028,24,0.222728249604,-1.96758463508
PID-1033,0,1,1,PID-1033,1,1,45,39,2,7.407,267,249028,24,0.832797575611,-0.544189777081
PID-1034,0,1,1,PID-1034,1,1,44,39,3,7.416,267,249028,24,1.67236921442,0.684819063854
PID-1035,0,1,1,PID-1035,1,1,42,38,0,7.454,267,249028,24,3.0856481722,2.38450415956
PID-1036,0,1,1,PID-1036,1,1,43,38,1,7.513,267,249028,24,2.10749136733,1.23502650973
PID-1037,0,1,1,PID-1037,1,1,43,39,2,7.61,267,249028,24,1.22257760722,0.0667851586317
PID-1038,0,1,1,PID-1038,1,1,42,39,3,7.619,267,249028,24,0.722517037774,-0.738847518985
PID-1039,0,1,1,PID-1039,1,1,40,38,0,7.383,267,249028,24,0.992791722977,-0.281342924541
PID-104,0,4,15,PID-104,4,15,45,15,2,6.921,196,249028,24,nan,nan
PID-1040,0,1,1,PID-1040,1,1,41,38,1,7.473,267,249028,24,1.79397055294,0.841464125008
PID-1041,0,1,1,PID-1041,1,1,41,39,2,8.395,267,249028,24,2.89762488067,2.16989110774
PID-1042,0,1,1,PID-1042,1,1,40,39,3,8.406,267,249028,24,1.12251555139,-0.0810307166726
PID-1043,0,1,1,PID-1043,1,1,37,38,0,7.445,267,249028,24,1.48179359345,0.430314436892
PID-1044,0,1,1,PID-1044,1,1,38,38,1,7.543,267,249028,24,1.79288949432,0.840182308401
PID-1045,0,1,1,PID-1045,1,1,38,39,2,7.633,267,249028,24,1.15345632027,-0.0346798113156
PID-1046,0,1,1,PID-1046,1,1,37,39,3,7.641,267,249028,24,2.0250378572,1.13382360847
PID-1047,0,1,1,PID-1047,1,1,35,38,0,7.575,267,249028,24,1.59890247714,0.587355827565
PID-1048,0,1,1,PID-1048,1,1,36,38,1,7.683,267,249028,24,1.43782025836,0.370219373094
PID-1049,0,1,1,PID-1049,1,1,36,39,2,7.728,267,249028,24,2.55838040019,1.77625313375
PID-105,0,1,1,PID-105,1,1,44,15,3,6.932,267,249028,24,2.18215917342,1.32674260758
PID-1050,0,1,1,PID-1050,1,1,35,39,3,7.736,267,249028,24,0.58798009189,-0.999589048277
PID-1051,0,1,1,PID-1051,1,1,33,38,0,7.392,267,249028,24,0.781428153356,-0.632781714426
PID-1052,0,1,1,PID-1052,1,1,34,38,1,7.435,267,249028,24,1.46949882922,0.413984464913
PID-1053,0,1,1,PID-1053,1,1,34,39,2,7.549,267,249028,24,0.635244979514,-0.903585235799
PID-1054,0,1,1,PID-1054,1,1,33,39,3,7.56,267,249028,24,1.54573202443,0.516689687972
PID-1055,0,1,1,PID-1055,1,1,30,38,0,7.393,267,249028,24,1.39706748097,0.315047775844
PID-1056,0,1,1,PID-1056,1,1,31,38,1,7.482,267,249028,24,0.648675355181,-0.878256148296
