#### DPAT limits ####
Site#,Test#,TestName,LL2,LL1,HL1,HL2
2,421,IlimSCerr,-2.4504588544e-001,-2.4504588544e-001,1.8139392138e-001,1.8139392138e-001
2,410,Ibias_pre,5.4999998156e-007,5.4999998156e-007,7.7852740787e-007,7.7852740787e-007
2,311,PIN2 IN2,-4.7746637464e-001,-4.7746637464e-001,-4.3988528848e-001,-4.3988528848e-001
2,620,TM_CHECK,9.3201697382e-007,9.3201697382e-007,1.0953921219e-006,1.0953921219e-006
2,411,Ibias_err,-1.0801531076e+000,-1.0801531076e+000,-1.9661718607e-001,-1.9661718607e-001
2,312,PIN26 POK,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
2,301,PIN1 IN1,-4.8327305913e-001,-4.8327305913e-001,-4.3553707004e-001,-4.3553707004e-001
2,621,V_DO_TM,5.4570507258e-002,5.4570507258e-002,6.5277263522e-002,6.5277263522e-002
2,610,TM_CHECK,9.3762486131e-007,9.3762486131e-007,1.0999999631e-006,1.0999999631e-006
2,511,Ipok/r,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
2,412,IbiasPost,9.5598238659e-007,9.5598238659e-007,1.0828409813e-006,1.0828409813e-006
2,401,Vfb_pre,4.8641160131e-001,4.8641160131e-001,5.0519573689e-001,5.0519573689e-001
2,313,PIN30 EN,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
2,302,PIN8 OUT2,-4.8672288656e-001,-4.8672288656e-001,-4.4479948282e-001,-4.4479948282e-001
2,622,I_DO_TM,4.0999999642e-001,4.0999999642e-001,5.8999997377e-001,5.8999997377e-001
2,611,VO36_4A,3.3862531185e+000,3.3862531185e+000,3.4104497433e+000,3.4104497433e+000
2,402,Vout_pre,1.4578585625e+000,1.4578585625e+000,1.5139150620e+000,1.5139150620e+000
2,314,PIN27 FB,-5.1140147448e-001,-5.1140147448e-001,-4.7290161252e-001,-4.7290161252e-001
2,303,PIN9 OUT3,-4.9583911896e-001,-4.9583911896e-001,-4.6577355266e-001,-4.6577355266e-001
2,623,V_DO_RM,1.6370765865e-002,1.6370765865e-002,1.8778763711e-002,1.8778763711e-002
2,601,VO14_2mA,1.2235183716e+000,1.2235183716e+000,1.2299493551e+000,1.2299493551e+000
2,502,Ishdn,-1.8250000721e-004,-1.8250000721e-004,1.3250000484e-004,1.3250000484e-004
2,414,IbiasErr2,-6.7190125585e-002,-6.7190125585e-002,6.8762287498e-002,6.8762287498e-002
2,403,Vfb_err,-2.7526373044e-002,-2.7526373044e-002,1.0579407215e-002,1.0579407215e-002
2,315,PIN29 OTP,-5.1082777977e-001,-5.1082777977e-001,-4.7176986933e-001,-4.7176986933e-001
2,304,PIN10 OUT4,-5.0864273310e-001,-5.0864273310e-001,-4.6632695198e-001,-4.6632695198e-001
2,624,I_DO_RM,9.1000002623e-001,9.1000002623e-001,1.0900000334e+000,1.0900000334e+000
2,613,VFB36_4A,4.9837043881e-001,4.9837043881e-001,5.0193858147e-001,5.0193858147e-001
2,602,VFB14_2mA,4.9843642116e-001,4.9843642116e-001,5.0195229053e-001,5.0195229053e-001
2,503,Icc1425,5.6052370928e-004,5.6052370928e-004,7.5339892646e-004,7.5339892646e-004
2,415,Ilim8_pre,8.2989130020e+000,8.2989130020e+000,1.2515632629e+001,1.2515632629e+001
2,316,EXPOSED_PAD,-1.0000000149e-001,-1.0000000149e-001,1.0000000149e-001,1.0000000149e-001
2,305,PIN11 OUT5,-4.9834927917e-001,-4.9834927917e-001,-4.6658253670e-001,-4.6658253670e-001
2,713,POK_LowV,2.8778938577e-003,2.8778938577e-003,3.5349768586e-003,3.5349768586e-003
2,625,RATIO,3.1968040466e+000,3.1968040466e+000,3.5737483501e+000,3.5737483501e+000
2,614,TM_CHECK,9.2211161018e-007,9.2211161018e-007,1.0406864703e-006,1.0406864703e-006
2,603,VO36_2mA,1.2235089540e+000,1.2235089540e+000,1.2277626991e+000,1.2277626991e+000
2,504,Icc18,5.0215778174e-004,5.0215778174e-004,7.6048320625e-004,7.6048320625e-004
2,416,Ilim_err,2.0750741661e-001,2.0750741661e-001,4.5193657279e-001,4.5193657279e-001
2,306,PIN6 IN6,-4.0526169538e-001,-4.0526169538e-001,-3.3672207594e-001,-3.3672207594e-001
2,714,POK_del,6.2874903961e-005,6.2874903961e-005,8.0261612311e-005,8.0261612311e-005
2,615,VO14_4A,1.2208658457e+000,1.2208658457e+000,1.2313410044e+000,1.2313410044e+000
2,604,VFB36_2mA,4.9843990803e-001,4.9843990803e-001,5.0196081400e-001,5.0196081400e-001
2,505,Icc36,5.1457859809e-004,5.1457859809e-004,7.5266906060e-004,7.5266906060e-004
2,417,Ilim8Post,6.5490989685e+000,6.5490989685e+000,8.0404834747e+000,8.0404834747e+000
2,406,Vfb Err Post Expected,-1.6249463661e-003,-1.6249463661e-003,1.7179793213e-003,1.7179793213e-003
2,307,PIN7 OUT1,-4.9740108848e-001,-4.9740108848e-001,-4.5155510306e-001,-4.5155510306e-001
2,605,Line_Reg,-2.5041209301e-004,-2.5041209301e-004,2.3072199838e-004,2.3072199838e-004
2,506,Ien_high,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
2,418,Ilim_err2,-7.4726469815e-002,-7.4726469815e-002,1.3598226011e-001,1.3598226011e-001
2,407,Vref_post,-1.9223464187e-004,-1.9223464187e-004,5.2319094539e-004,5.2319094539e-004
2,308,PIN3 IN3,-4.8923444748e-001,-4.8923444748e-001,-4.3993914127e-001,-4.3993914127e-001
2,617,VFB14_4A,4.9801707268e-001,4.9801707268e-001,5.0306540728e-001,5.0306540728e-001
2,606,TM_CHECK,9.3163151860e-007,9.3163151860e-007,1.0965201227e-006,1.0965201227e-006
2,507,Idrop_out,7.2701281169e-004,7.2701281169e-004,1.1212059762e-003,1.1212059762e-003
2,309,PIN4 IN4,-4.8942542076e-001,-4.8942542076e-001,-4.4021925330e-001,-4.4021925330e-001
2,618,Load_Reg,-8.9999998454e-004,-8.9999998454e-004,6.9393339800e-004,6.9393339800e-004
2,607,VO18_4A,1.4950863123e+000,1.4950863123e+000,1.5065417290e+000,1.5065417290e+000
2,508,Ien_low,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
2,409,Vfb_post,4.9923613667e-001,4.9923613667e-001,5.0097775459e-001,5.0097775459e-001
2,619,VO_Char,4.9849933386e-001,4.9849933386e-001,5.0200146437e-001,5.0200146437e-001
2,509,Ifb,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
2,609,VFB18_4A,4.9833741784e-001,4.9833741784e-001,5.0219261646e-001,5.0219261646e-001
2,420,Ilim8_sc,1.7061979771e+000,1.7061979771e+000,2.6699471474e+000,2.6699471474e+000
2,310,PIN5 IN5,-4.8943248391e-001,-4.8943248391e-001,-4.4005495310e-001,-4.4005495310e-001
#########################################
