#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5930999517e-001 
302,PIN8 OUT2,1,-4.6126800776e-001 
303,PIN9 OUT3,1,-4.8203098774e-001 
304,PIN10 OUT4,1,-4.8413699865e-001 
305,PIN11 OUT5,1,-4.8491498828e-001 
306,PIN6 IN6,1,-3.6846101284e-001 
307,PIN7 OUT1,1,-4.7616800666e-001 
308,PIN3 IN3,1,-4.6546998620e-001 
309,PIN4 IN4,1,-4.6552100778e-001 
310,PIN5 IN5,1,-4.6554800868e-001 
311,PIN2 IN2,1,-4.6568998694e-001 
312,PIN26 POK,1,-6.1878401041e-001 
313,PIN30 EN,1,-4.8989200592e-001 
314,PIN27 FB,1,-4.9072599411e-001 
315,PIN29 OTP,1,-4.8892098665e-001 
316,EXPOSED_PAD,1,4.5747701079e-002 
401,Vfb_pre,1,4.9504700303e-001 
402,Vout_pre,1,1.4840600491e+000 
403,Vfb_err,1,-1.0005700402e-002 
406,Vfb Err Post Expected,1,-5.7053498494e-006 
407,Vref_post,1,4.7596401419e-004 
409,Vfb_post,1,5.0000697374e-001 
410,Ibias_pre,1,6.2667498923e-007 
411,Ibias_err,1,-5.9572398663e-001 
412,IbiasPost,1,9.8194698239e-007 
414,IbiasErr2,1,-1.8385099247e-002 
415,Ilim8_pre,1,9.7861404419e+000 
416,Ilim_err,1,2.7673101425e-001 
417,Ilim8Post,1,7.4187002182e+000 
418,Ilim_err2,1,4.8133801669e-002 
420,Ilim8_sc,1,2.4183599949e+000 
421,IlimSCerr,1,7.0071101189e-002 
502,Ishdn,1,2.7434400636e-006 
503,Icc1425,1,6.0086202575e-004 
504,Icc18,1,6.0213997494e-004 
505,Icc36,1,6.0256599681e-004 
506,Ien_high,1,-1.3544400046e-009 
507,Idrop_out,1,8.6452200776e-004 
508,Ien_low,1,-6.5083899381e-010 
509,Ifb,1,-7.9600397385e-009 
511,Ipok/r,1,2.0024999454e-012 
601,VO14_2mA,1,1.2256799936e+000 
602,VFB14_2mA,1,5.0005102158e-001 
603,VO36_2mA,1,1.2260199785e+000 
604,VFB36_2mA,1,5.0017398596e-001 
605,Line_Reg,1,1.2817200331e-004 
606,TM_CHECK,1,9.9448504898e-007 
607,VO18_4A,1,1.5004299879e+000 
609,VFB18_4A,1,5.0047397614e-001 
610,TM_CHECK,1,1.0005700233e-006 
611,VO36_4A,1,3.4004499912e+000 
613,VFB36_4A,1,5.0010299683e-001 
614,TM_CHECK,1,9.7797794751e-007 
615,VO14_4A,1,1.2264399529e+000 
617,VFB14_4A,1,5.0008398294e-001 
618,Load_Reg,1,-1.8842100690e-004 
619,VO_Char,1,5.0011199713e-001 
620,TM_CHECK,1,9.9267299447e-007 
621,V_DO_TM,1,5.8534000069e-002 
622,I_DO_TM,1,5.0067502260e-001 
623,V_DO_RM,1,1.7137400806e-002 
624,I_DO_RM,1,1.0006699562e+000 
625,RATIO,1,3.4155700207e+000 
713,POK_LowV,1,3.1766800676e-003 
714,POK_del,1,6.9250199886e-005 

#########################################

#### RESULT packet 1 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,6 
PAT binning,6 
Tests executed,16 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-2.3668600619e-001 
302,PIN8 OUT2,1,-4.7213700414e-001 
303,PIN9 OUT3,1,-4.7103700042e-001 
304,PIN10 OUT4,1,-4.7077000141e-001 
305,PIN11 OUT5,1,-4.7129699588e-001 
306,PIN6 IN6,1,-3.1475499272e-003 
307,PIN7 OUT1,1,-3.2011100557e-003 
308,PIN3 IN3,1,-4.6984300017e-001 
309,PIN4 IN4,1,-4.7001799941e-001 
