#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,6 
PAT binning,6 
Tests executed,16 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-2.4443799257e-001
302,PIN8 OUT2,1,-4.7938799858e-001
303,PIN9 OUT3,1,-4.7761800885e-001
304,PIN10 OUT4,1,-4.7739499807e-001
305,PIN11 OUT5,1,-4.7790798545e-001
306,PIN6 IN6,1,-1.0171200149e-002
307,PIN7 OUT1,1,-1.0858899914e-002
308,PIN3 IN3,1,-4.7505399585e-001
309,PIN4 IN4,1,-4.7477400303e-001
310,PIN5 IN5,1,-4.7504499555e-001
311,PIN2 IN2,1,-4.7652399540e-001
312,PIN26 POK,1,-4.9483498931e-001
313,PIN30 EN,1,-4.8866200447e-001
314,PIN27 FB,1,-4.8757100105e-001
315,PIN29 OTP,1,-4.8693799973e-001
316,EXPOSED_PAD,1,5.0592899323e-002
401,Vfb_pre,0,n/a 
402,Vout_pre,0,n/a 
403,Vfb_err,0,n/a 
406,Vfb Err Post Expected,0,n/a 
407,Vref_post,0,n/a 
409,Vfb_post,0,n/a 
410,Ibias_pre,0,n/a 
411,Ibias_err,0,n/a 
412,IbiasPost,0,n/a 
414,IbiasErr2,0,n/a 
415,Ilim8_pre,0,n/a 
416,Ilim_err,0,n/a 
417,Ilim8Post,0,n/a 
418,Ilim_err2,0,n/a 
420,Ilim8_sc,0,n/a 
421,IlimSCerr,0,n/a 
502,Ishdn,0,n/a 
503,Icc1425,0,n/a 
504,Icc18,0,n/a 
505,Icc36,0,n/a 
506,Ien_high,0,n/a 
507,Idrop_out,0,n/a 
508,Ien_low,0,n/a 
509,Ifb,0,n/a 
511,Ipok/r,0,n/a 
601,VO14_2mA,0,n/a 
602,VFB14_2mA,0,n/a 
603,VO36_2mA,0,n/a 
604,VFB36_2mA,0,n/a 
605,Line_Reg,0,n/a 
606,TM_CHECK,0,n/a 
607,VO18_4A,0,n/a 
609,VFB18_4A,0,n/a 
610,TM_CHECK,0,n/a 
611,VO36_4A,0,n/a 
613,VFB36_4A,0,n/a 
614,TM_CHECK,0,n/a 
615,VO14_4A,0,n/a 
617,VFB14_4A,0,n/a 
618,Load_Reg,0,n/a 
619,VO_Char,0,n/a 
620,TM_CHECK,0,n/a 
621,V_DO_TM,0,n/a 
622,I_DO_TM,0,n/a 
623,V_DO_RM,0,n/a 
624,I_DO_RM,0,n/a 
625,RATIO,0,n/a 
713,POK_LowV,0,n/a 
714,POK_del,0,n/a 

#########################################

#### RESULT packet 1 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6207299829e-001
302,PIN8 OUT2,1,-4.6589198709e-001
303,PIN9 OUT3,1,-4.8711499572e-001
304,PIN10 OUT4,1,-4.8951500654e-001
305,PIN11 OUT5,1,-4.9027800560e-001
306,PIN6 IN6,1,-3.7520799041e-001
307,PIN7 OUT1,1,-4.7570198774e-001
308,PIN3 IN3,1,-4.6818199754e-001
309,PIN4 IN4,1,-4.6815198660e-001
310,PIN5 IN5,1,-4.6817401052e-001
311,PIN2 IN2,1,-4.6852800250e-001
312,PIN26 POK,1,-6.2067300081e-001
313,PIN30 EN,1,-4.9153599143e-001
314,PIN27 FB,1,-4.9044400454e-001
315,PIN29 OTP,1,-4.8993599415e-001
316,EXPOSED_PAD,1,5.0780098885e-002
401,Vfb_pre,1,4.9844399095e-001
402,Vout_pre,1,1.4954999685e+000
403,Vfb_err,1,-3.1221199315e-003
406,Vfb Err Post Expected,1,8.7787798839e-004
407,Vref_post,1,3.5024300450e-004
409,Vfb_post,1,5.0049597025e-001
410,Ibias_pre,1,6.5374700853e-007
411,Ibias_err,1,-5.2964299917e-001
412,IbiasPost,1,9.9175201740e-007
414,IbiasErr2,1,-8.3168502897e-003
415,Ilim8_pre,1,1.0356599808e+001
416,Ilim_err,1,3.1656798720e-001
417,Ilim8Post,1,7.4539198875e+000
418,Ilim_err2,1,5.3109701723e-002
420,Ilim8_sc,1,2.2195999622e+000
421,IlimSCerr,1,-1.7878200859e-002
502,Ishdn,1,2.0364599607e-007
503,Icc1425,1,6.1802001437e-004
504,Icc18,1,6.2389398227e-004
505,Icc36,1,6.3491397304e-004
506,Ien_high,1,-1.3705799828e-009
507,Idrop_out,1,8.4286800120e-004
508,Ien_low,1,-1.2012399964e-009
509,Ifb,1,-6.9255698953e-009
511,Ipok/r,1,3.2207500555e-012
601,VO14_2mA,1,1.2274399996e+000
602,VFB14_2mA,1,5.0063699484e-001
603,VO36_2mA,1,1.2276099920e+000
604,VFB36_2mA,1,5.0064498186e-001
605,Line_Reg,1,6.7215500167e-005
606,TM_CHECK,1,1.0014699683e-006
607,VO18_4A,1,1.5041999817e+000
609,VFB18_4A,1,5.0059300661e-001
610,TM_CHECK,1,1.0073899830e-006
611,VO36_4A,1,3.4033598900e+000
613,VFB36_4A,1,5.0061500072e-001
614,TM_CHECK,1,9.8950499705e-007
615,VO14_4A,1,1.2272800207e+000
617,VFB14_4A,1,5.0047701597e-001
618,Load_Reg,1,3.9248599933e-005
619,VO_Char,1,5.0068002939e-001
620,TM_CHECK,1,1.0003100215e-006
621,V_DO_TM,1,5.8590799570e-002
622,I_DO_TM,1,5.0063800812e-001
623,V_DO_RM,1,1.7259199172e-002
624,I_DO_RM,1,1.0006400347e+000
625,RATIO,1,3.3947598934e+000
713,POK_LowV,1,3.2574399374e-003
714,POK_del,1,7.1522401413e-005

#########################################

#### RESULT packet 2 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,32 
PAT binning,32 
Tests executed,41 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6144801378e-001
302,PIN8 OUT2,1,-4.6801599860e-001
303,PIN9 OUT3,1,-4.8786398768e-001
304,PIN10 OUT4,1,-4.9026501179e-001
