#### DPAT limits ####
Site#,Test#,TestName,LL2,LL1,HL1,HL2
7,421,IlimSCerr,-2.3340450227e-001,-2.3340450227e-001,1.5932424366e-001,1.5932424366e-001
7,410,Ibias_pre,5.4999998156e-007,5.4999998156e-007,7.6554107409e-007,7.6554107409e-007
7,311,PIN2 IN2,-4.8600941896e-001,-4.8600941896e-001,-4.4401794672e-001,-4.4401794672e-001
7,620,TM_CHECK,9.3903264542e-007,9.3903264542e-007,1.0837363789e-006,1.0837363789e-006
7,411,Ibias_err,-9.6545952559e-001,-9.6545952559e-001,-2.3579315841e-001,-2.3579315841e-001
7,312,PIN26 POK,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
7,301,PIN1 IN1,-4.8034703732e-001,-4.8034703732e-001,-4.3741905689e-001,-4.3741905689e-001
7,621,V_DO_TM,5.1908843219e-002,5.1908843219e-002,6.5270654857e-002,6.5270654857e-002
7,610,TM_CHECK,9.4545509910e-007,9.4545509910e-007,1.0909481034e-006,1.0909481034e-006
7,511,Ipok/r,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
7,412,IbiasPost,9.2747910685e-007,9.2747910685e-007,1.0698403230e-006,1.0698403230e-006
7,401,Vfb_pre,4.8727160692e-001,4.8727160692e-001,5.0579577684e-001,5.0579577684e-001
7,313,PIN30 EN,-5.1290756464e-001,-5.1290756464e-001,-4.7022905946e-001,-4.7022905946e-001
7,302,PIN8 OUT2,-4.7896131873e-001,-4.7896131873e-001,-4.4165188074e-001,-4.4165188074e-001
7,622,I_DO_TM,4.0999999642e-001,4.0999999642e-001,5.8999997377e-001,5.8999997377e-001
7,611,VO36_4A,3.3963267803e+000,3.3963267803e+000,3.4206552505e+000,3.4206552505e+000
7,402,Vout_pre,1.4591711760e+000,1.4591711760e+000,1.5154730082e+000,1.5154730082e+000
7,314,PIN27 FB,-5.0288122892e-001,-5.0288122892e-001,-4.6767884493e-001,-4.6767884493e-001
7,303,PIN9 OUT3,-5.0517052412e-001,-5.0517052412e-001,-4.6337071061e-001,-4.6337071061e-001
7,623,V_DO_RM,1.1825478636e-002,1.1825478636e-002,2.3796549067e-002,2.3796549067e-002
7,601,VO14_2mA,1.2219367027e+000,1.2219367027e+000,1.2300064564e+000,1.2300064564e+000
7,502,Ishdn,-1.8250000721e-004,-1.8250000721e-004,1.3250000484e-004,1.3250000484e-004
7,414,IbiasErr2,-6.2308888882e-002,-6.2308888882e-002,6.2256332487e-002,6.2256332487e-002
7,403,Vfb_err,-2.5798123330e-002,-2.5798123330e-002,1.1819873936e-002,1.1819873936e-002
7,315,PIN29 OTP,-5.1717728376e-001,-5.1717728376e-001,-4.7108805180e-001,-4.7108805180e-001
7,304,PIN10 OUT4,-5.0947427750e-001,-5.0947427750e-001,-4.6465536952e-001,-4.6465536952e-001
7,624,I_DO_RM,9.1000002623e-001,9.1000002623e-001,1.0900000334e+000,1.0900000334e+000
7,613,VFB36_4A,4.9849882722e-001,4.9849882722e-001,5.0211840868e-001,5.0211840868e-001
7,602,VFB14_2mA,4.9856022000e-001,4.9856022000e-001,5.0195246935e-001,5.0195246935e-001
7,503,Icc1425,4.3851751252e-004,4.3851751252e-004,1.0612970218e-003,1.0612970218e-003
7,415,Ilim8_pre,8.6223735809e+000,8.6223735809e+000,1.2580298424e+001,1.2580298424e+001
7,316,EXPOSED_PAD,-1.0000000149e-001,-1.0000000149e-001,1.0000000149e-001,1.0000000149e-001
7,305,PIN11 OUT5,-5.1049691439e-001,-5.1049691439e-001,-4.6577528119e-001,-4.6577528119e-001
7,713,POK_LowV,2.4295994081e-003,2.4295994081e-003,4.5543326996e-003,4.5543326996e-003
7,625,RATIO,3.2117559910e+000,3.2117559910e+000,3.5909860134e+000,3.5909860134e+000
7,614,TM_CHECK,9.2644069127e-007,9.2644069127e-007,1.0708905620e-006,1.0708905620e-006
7,603,VO36_2mA,1.2217779160e+000,1.2217779160e+000,1.2300709486e+000,1.2300709486e+000
7,504,Icc18,2.5480816839e-004,2.5480816839e-004,1.0687494650e-003,1.0687494650e-003
7,416,Ilim_err,2.0779900253e-001,2.0779900253e-001,4.5563751459e-001,4.5563751459e-001
7,306,PIN6 IN6,-4.0287446976e-001,-4.0287446976e-001,-3.4159982204e-001,-3.4159982204e-001
7,714,POK_del,6.3289859099e-005,6.3289859099e-005,7.6826159784e-005,7.6826159784e-005
7,615,VO14_4A,1.2193783522e+000,1.2193783522e+000,1.2341274023e+000,1.2341274023e+000
7,604,VFB36_2mA,4.9851828814e-001,4.9851828814e-001,5.0199556351e-001,5.0199556351e-001
7,505,Icc36,2.6586625609e-004,2.6586625609e-004,1.0627465090e-003,1.0627465090e-003
7,417,Ilim8Post,6.5426821709e+000,6.5426821709e+000,8.0925531387e+000,8.0925531387e+000
7,406,Vfb Err Post Expected,-2.0000000950e-003,-2.0000000950e-003,2.0000000950e-003,2.0000000950e-003
7,307,PIN7 OUT1,-5.0557249784e-001,-5.0557249784e-001,-4.2948925495e-001,-4.2948925495e-001
7,605,Line_Reg,-2.4317362113e-004,-2.4317362113e-004,2.0723881607e-004,2.0723881607e-004
