#### DPAT limits ####
Site#,Test#,TestName,LL2,LL1,HL1,HL2
0,421,IlimSCerr,-2.9107400775e-001,-2.9107400775e-001,1.6819447279e-001,1.6819447279e-001
0,410,Ibias_pre,5.4999998156e-007,5.4999998156e-007,7.7347857541e-007,7.7347857541e-007
0,311,PIN2 IN2,-4.7694411874e-001,-4.7694411874e-001,-4.4360467792e-001,-4.4360467792e-001
0,620,TM_CHECK,9.3689470759e-007,9.3689470759e-007,1.0894805200e-006,1.0894805200e-006
0,411,Ibias_err,-9.4530409575e-001,-9.4530409575e-001,-2.2560387850e-001,-2.2560387850e-001
0,312,PIN26 POK,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
0,301,PIN1 IN1,-4.8165282607e-001,-4.8165282607e-001,-4.3831357360e-001,-4.3831357360e-001
0,621,V_DO_TM,5.2522849292e-002,5.2522849292e-002,6.3935816288e-002,6.3935816288e-002
0,610,TM_CHECK,9.4355914371e-007,9.4355914371e-007,1.0967763728e-006,1.0967763728e-006
0,511,Ipok/r,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
0,412,IbiasPost,9.2770125093e-007,9.2770125093e-007,1.0693468084e-006,1.0693468084e-006
0,401,Vfb_pre,4.8705425858e-001,4.8705425858e-001,5.0503236055e-001,5.0503236055e-001
0,313,PIN30 EN,-5.1310235262e-001,-5.1310235262e-001,-4.6972936392e-001,-4.6972936392e-001
0,302,PIN8 OUT2,-4.9135419726e-001,-4.9135419726e-001,-4.5172107220e-001,-4.5172107220e-001
0,622,I_DO_TM,4.0999999642e-001,4.0999999642e-001,5.8999997377e-001,5.8999997377e-001
0,611,VO36_4A,3.3943440914e+000,3.3943440914e+000,3.4215984344e+000,3.4215984344e+000
0,402,Vout_pre,1.4555490017e+000,1.4555490017e+000,1.5140391588e+000,1.5140391588e+000
0,314,PIN27 FB,-5.1503610611e-001,-5.1503610611e-001,-4.7280839086e-001,-4.7280839086e-001
0,303,PIN9 OUT3,-5.0867986679e-001,-5.0867986679e-001,-4.6536374092e-001,-4.6536374092e-001
0,623,V_DO_RM,2.0500000101e-003,2.0500000101e-003,3.8949999958e-002,3.8949999958e-002
