#### DPAT limits ####
Site#,Test#,TestName,LL2,LL1,HL1,HL2
4,421,IlimSCerr,-2.4867741764e-001,-2.4867741764e-001,1.8768036366e-001,1.8768036366e-001
4,410,Ibias_pre,5.4999998156e-007,5.4999998156e-007,7.6278865890e-007,7.6278865890e-007
4,311,PIN2 IN2,-4.8566466570e-001,-4.8566466570e-001,-4.4379198551e-001,-4.4379198551e-001
4,620,TM_CHECK,9.4762322078e-007,9.4762322078e-007,1.0471416090e-006,1.0471416090e-006
4,411,Ibias_err,-9.7078394890e-001,-9.7078394890e-001,-2.4746635556e-001,-2.4746635556e-001
4,312,PIN26 POK,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,301,PIN1 IN1,-4.7935354710e-001,-4.7935354710e-001,-4.3758243322e-001,-4.3758243322e-001
4,621,V_DO_TM,5.1942840219e-002,5.1942840219e-002,6.4904697239e-002,6.4904697239e-002
4,610,TM_CHECK,9.5454299753e-007,9.5454299753e-007,1.0872622624e-006,1.0872622624e-006
4,511,Ipok/r,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
4,412,IbiasPost,9.2832067367e-007,9.2832067367e-007,1.0866637012e-006,1.0866637012e-006
4,401,Vfb_pre,4.8925992846e-001,4.8925992846e-001,5.0266551971e-001,5.0266551971e-001
4,313,PIN30 EN,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,302,PIN8 OUT2,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,622,I_DO_TM,4.0999999642e-001,4.0999999642e-001,5.8999997377e-001,5.8999997377e-001
4,611,VO36_4A,3.3887257576e+000,3.3887257576e+000,3.4079723358e+000,3.4079723358e+000
4,402,Vout_pre,1.4668954611e+000,1.4668954611e+000,1.5067652464e+000,1.5067652464e+000
4,314,PIN27 FB,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,303,PIN9 OUT3,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,623,V_DO_RM,2.0500000101e-003,2.0500000101e-003,3.8949999958e-002,3.8949999958e-002
4,601,VO14_2mA,1.2215023041e+000,1.2215023041e+000,1.2307392359e+000,1.2307392359e+000
4,502,Ishdn,-1.6322619558e-005,-1.6322619558e-005,1.3053321709e-005,1.3053321709e-005
4,414,IbiasErr2,-5.6395806372e-002,-5.6395806372e-002,6.2175154686e-002,6.2175154686e-002
4,403,Vfb_err,-2.1772826090e-002,-2.1772826090e-002,5.4822191596e-003,5.4822191596e-003
4,315,PIN29 OTP,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,304,PIN10 OUT4,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,624,I_DO_RM,9.1000002623e-001,9.1000002623e-001,1.0900000334e+000,1.0900000334e+000
4,613,VFB36_4A,4.9834653735e-001,4.9834653735e-001,5.0206005573e-001,5.0206005573e-001
4,602,VFB14_2mA,4.9837258458e-001,4.9837258458e-001,5.0209134817e-001,5.0209134817e-001
4,503,Icc1425,4.9819191918e-004,4.9819191918e-004,7.5841788203e-004,7.5841788203e-004
4,415,Ilim8_pre,8.6244935989e+000,8.6244935989e+000,1.2329596519e+001,1.2329596519e+001
4,316,EXPOSED_PAD,-1.0000000149e-001,-1.0000000149e-001,1.0000000149e-001,1.0000000149e-001
4,305,PIN11 OUT5,-8.9999997616e-001,-8.9999997616e-001,-3.0000001192e-001,-3.0000001192e-001
4,713,POK_LowV,2.7122562751e-003,2.7122562751e-003,3.8365111686e-003,3.8365111686e-003
4,625,RATIO,3.2441530228e+000,3.2441530228e+000,3.5796606541e+000,3.5796606541e+000
4,614,TM_CHECK,9.3373716936e-007,9.3373716936e-007,1.0680770401e-006,1.0680770401e-006
4,603,VO36_2mA,1.2215052843e+000,1.2215052843e+000,1.2307474613e+000,1.2307474613e+000
4,504,Icc18,5.0279143034e-004,5.0279143034e-004,7.6352362521e-004,7.6352362521e-004
4,416,Ilim_err,2.0340073109e-001,2.0340073109e-001,4.4429472089e-001,4.4429472089e-001
4,306,PIN6 IN6,-4.0492174029e-001,-4.0492174029e-001,-3.4164237976e-001,-3.4164237976e-001
4,714,POK_del,6.1262806412e-005,6.1262806412e-005,8.0104269728e-005,8.0104269728e-005
4,615,VO14_4A,1.2206627131e+000,1.2206627131e+000,1.2327080965e+000,1.2327080965e+000
4,604,VFB36_2mA,4.9839612842e-001,4.9839612842e-001,5.0117760897e-001,5.0117760897e-001
4,505,Icc36,5.1748496480e-004,5.1748496480e-004,7.5254787225e-004,7.5254787225e-004
4,417,Ilim8Post,6.5554270744e+000,6.5554270744e+000,8.0318107605e+000,8.0318107605e+000
4,406,Vfb Err Post Expected,-2.0000000950e-003,-2.0000000950e-003,2.0000000950e-003,2.0000000950e-003
4,307,PIN7 OUT1,-4.9694839120e-001,-4.9694839120e-001,-4.4551378489e-001,-4.4551378489e-001
4,605,Line_Reg,-2.7588047669e-004,-2.7588047669e-004,1.4108202595e-004,1.4108202595e-004
4,506,Ien_high,-8.9999997499e-007,-8.9999997499e-007,8.9999997499e-007,8.9999997499e-007
4,418,Ilim_err2,-7.3831520975e-002,-7.3831520975e-002,1.3475595415e-001,1.3475595415e-001
