mysql> show table status;
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| Name                    | Engine | Version | Row_format | Rows       | Avg_row_length | Data_length | Max_data_length  | Index_length | Data_free | Auto_increment | Create_time         | Update_time         | Check_time          | Collation         | Checksum | Create_options | Comment               |
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| et_hbin                 | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:55 | 2008-11-07 14:45:55 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_lot                  | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:54 | 2008-11-07 14:45:54 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_lot_hbin             | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:54 | 2008-11-07 14:45:54 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_lot_sbin             | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:55 | 2008-11-07 14:45:55 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_metadata_link        | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:54 | 2008-11-07 14:45:54 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_metadata_mapping     | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:54 | 2008-11-07 14:45:54 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_prod_alarm           | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:54 | 2008-11-07 14:45:54 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_ptest_info           | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:55 | 2008-11-07 14:45:55 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_ptest_results        | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 3940649673949183 |         1024 |         0 |           NULL | 2008-11-07 14:45:55 | 2008-11-07 14:45:55 | 2008-11-07 17:49:05 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| et_ptest_stats          | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 7599824371187711 |         1024 |         0 |           NULL | 2008-11-07 14:45:55 | 2008-11-07 14:45:55 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
